TITLE,experimental spectrum 3,,,
DATA TYPE,,,,
ORIGIN,JASCO,,,
OWNER,,,,
DATE,25/10/29,,,
TIME,14:35:20,,,
SPECTROMETER/DATA SYSTEM,,,,
LOCALE,1033,,,
RESOLUTION,,,,
DELTAX,-1,,,
XUNITS,NANOMETERS,,,
YUNITS,CD [mdeg],,,
Y2UNITS,HT [V],,,
Y3UNITS,ABSORBANCE,,,
Y4UNITS,LD [dOD],,,
FIRSTX,280,,,
LASTX,190,,,
NPOINTS,91,,,
FIRSTY,-0.09713,,,
MAXY,14.87771,,,
MINY,-7.3537,,,
XYDATA,,,,
280,-0.0971263,237.419,-0.000937484,-0.000132489
279,-0.160999,237.554,-3.30E-05,-0.000135357
278,-0.000573808,237.751,-0.000486651,-0.000138515
277,-0.0545807,237.848,-0.000501603,-0.00013578
276,-0.102137,237.906,0.000644769,-0.000139997
275,-0.069915,238.15,0.00131767,-0.000144099
274,-0.0500743,238.239,0.000686579,-0.00013915
273,-0.0788688,238.342,0.000823835,-0.00013604
272,-0.068813,238.591,0.000871113,-0.000131038
271,0.108592,238.855,0.00278179,-0.000145979
270,-0.0380481,239.156,7.42E-05,-0.000140826
269,0.0867367,239.496,0.00243266,-0.000141048
268,-0.0721104,239.781,0.00164513,-0.000139867
267,0.0180235,240.031,0.00287426,-0.000143854
266,-0.0185669,240.566,0.00236159,-0.000142003
265,0.0413334,240.922,0.00343,-0.000152859
264,-0.0277411,241.252,0.00365071,-0.000156789
263,-0.153502,241.648,0.00346003,-0.00014889
262,0.0262173,242.132,0.00460799,-0.000153342
261,0.00393718,242.701,0.00489677,-0.000163043
260,-0.127659,243.146,0.00490963,-0.00016127
259,0.029131,243.51,0.00493296,-0.000155505
258,0.0847367,244.076,0.00521555,-0.000173087
257,0.00890781,244.522,0.00507396,-0.000179483
256,-0.0623002,244.984,0.00608417,-0.000173949
255,0.036752,245.426,0.00634149,-0.00017776
254,0.0480839,245.861,0.00743125,-0.000172326
253,-0.0115464,246.429,0.00736757,-0.000179178
252,-0.0519181,246.869,0.00741785,-0.000180987
251,0.0528417,247.311,0.00706874,-0.000189279
250,-0.244964,247.668,0.00766785,-0.000192504
249,-0.0925538,248.037,0.00825598,-0.00019717
248,-0.123753,248.386,0.00827691,-0.000200423
247,-0.252726,248.857,0.00866755,-0.000205348
246,-0.328425,249.235,0.00960144,-0.000196406
245,-0.408691,249.685,0.0103699,-0.000199607
244,-0.501148,250.158,0.0109686,-0.00020499
243,-0.681683,250.601,0.0121858,-0.000213475
242,-0.743368,251.154,0.0133956,-0.000213934
241,-0.747924,251.811,0.0146757,-0.000222298
240,-1.16015,252.637,0.0172514,-0.000221156
239,-1.52298,253.45,0.0195384,-0.000232049
238,-1.85122,254.362,0.0217034,-0.000234007
237,-1.98776,255.305,0.024814,-0.00024736
236,-2.40356,256.227,0.0280922,-0.000260237
235,-2.79872,257.27,0.0322566,-0.00026959
234,-3.30907,258.385,0.0370586,-0.000281968
233,-3.83058,259.518,0.0415304,-0.000316853
232,-4.30788,260.85,0.0473841,-0.00033725
231,-4.71179,261.973,0.0529873,-0.000355218
230,-5.25141,263.05,0.0584348,-0.000389648
229,-5.6422,264.496,0.0660835,-0.000421996
228,-6.17728,266,0.0728722,-0.00046577
227,-6.37254,267.546,0.0809302,-0.000498541
226,-6.67401,269.029,0.0886437,-0.000557919
225,-6.97232,270.613,0.0965312,-0.000584317
224,-7.25756,272.073,0.104178,-0.000644255
223,-7.25166,273.597,0.111501,-0.000678407
222,-7.3537,275.143,0.118992,-0.00074945
221,-7.32253,276.604,0.125932,-0.000786246
220,-7.35369,278.166,0.133418,-0.000852221
219,-7.10439,279.538,0.140366,-0.000923226
218,-6.61044,281.123,0.147794,-0.00100654
217,-5.89398,282.896,0.156179,-0.00106803
216,-5.30634,284.405,0.16449,-0.00116472
215,-4.29959,286.141,0.173588,-0.00126619
214,-3.415,288.094,0.18521,-0.00137558
213,-1.91141,290.062,0.197749,-0.00148174
212,-0.595446,292.388,0.212178,-0.00162629
211,0.769655,295.084,0.229711,-0.00180322
210,2.64834,298.06,0.250214,-0.00201245
209,4.73736,301.484,0.274899,-0.00224475
208,7.03249,305.216,0.303077,-0.00251093
207,9.3735,309.464,0.336028,-0.00281543
206,11.9281,314.534,0.377384,-0.00320735
205,13.7999,319.526,0.417808,-0.00359146
204,14.6667,324.768,0.460936,-0.00396475
203,14.8777,330.055,0.503593,-0.00436786
202,13.1433,335.471,0.546328,-0.00464225
201,11.3666,339.981,0.581775,-0.00476178
200,9.73049,344.186,0.613741,-0.00487105
199,8.2097,347.516,0.639655,-0.00488425
198,6.56001,350.08,0.661222,-0.00484992
197,6.12567,351.795,0.676758,-0.00477137
196,5.68173,352.925,0.689642,-0.00469405
195,5.00144,353.593,0.698807,-0.00463471
194,4.60108,353.634,0.705078,-0.0045313
193,4.53161,354.018,0.711275,-0.00445403
192,4.726,353.414,0.713201,-0.00435928
